x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
32.00;73.30;p;0.85;0.18;-26.57;0.00;0.67;79.98
32.60;73.60;y;0.79;0.23;-26.57;50.53;0.00;80.50
32.60;73.60;p;1.20;0.64;23.96;0.00;0.98;80.50
33.50;73.20;y;0.79;0.37;23.96;68.76;0.00;80.50
33.50;73.20;p;2.21;0.77;92.73;0.00;2.10;80.50
33.40;71.10;y;0.79;0.40;92.73;19.08;0.00;78.55
33.40;71.10;p;0.66;0.03;111.80;0.00;0.54;78.55
33.20;70.60;y;0.79;0.00;111.80;-52.06;0.00;78.02
33.20;70.60;p;3.22;0.46;59.74;0.00;2.78;78.02
34.60;68.20;y;0.79;0.26;59.74;-129.76;0.00;76.47
34.60;68.20;p;1.32;0.29;-70.02;0.00;1.17;76.47
35.00;69.30;y;0.79;0.24;-70.02;-19.98;0.00;77.64
35.00;69.30;p;0.44;0.01;-90.00;0.00;0.30;77.64
35.00;69.60;y;0.79;0.04;-90.00;20.56;0.00;77.90
35.00;69.60;p;1.90;0.14;-69.44;0.00;1.71;77.90
35.60;71.20;y;0.79;0.17;-69.44;24.44;0.00;79.60
35.60;71.20;p;0.68;0.00;-45.00;0.00;0.57;79.60
36.00;71.60;y;0.79;0.03;-45.00;124.99;0.00;80.14
36.00;71.60;p;1.83;0.10;79.99;0.00;1.73;80.14
36.30;69.90;y;0.79;0.03;79.99;-87.12;0.00;78.76
36.30;69.90;p;1.72;0.95;-7.13;0.00;1.61;78.76
37.90;70.10;y;0.79;0.30;-7.13;-101.31;0.00;79.69
37.90;70.10;p;2.08;0.59;-108.43;0.00;1.90;79.69
37.30;71.90;y;0.79;0.00;-108.43;108.43;0.00;81.00
37.30;71.90;p;0.77;0.00;-0.00;0.00;0.60;81.00
37.90;71.90;y;0.79;0.02;-0.00;14.04;0.00;81.28
37.90;71.90;p;0.53;0.02;14.04;0.00;0.41;81.28
